game_id,game_date,home_team,away_team,home_pts,away_pts,winner,season
washington-spirit-vs-north-carolina-courage-2017-04-15,4/15/2017,WAS,NC,0,1,H,2017
north-carolina-courage-vs-portland-thorns-2017-04-22,4/22/2017,NC,POR,1,0,H,2017
north-carolina-courage-vs-orlando-pride-2017-04-29,4/29/2017,NC,ORL,3,1,H,2017
boston-breakers-vs-north-carolina-courage-2017-05-07,5/7/2017,BOS,NC,0,1,H,2017
orlando-pride-vs-north-carolina-courage-2017-05-14,5/14/2017,ORL,NC,3,1,M,2017
north-carolina-courage-vs-chicago-red-stars-2017-05-21,5/21/2017,NC,CHI,1,3,M,2017
north-carolina-courage-vs-sky-blue-2017-05-24,5/24/2017,NC,NJ,2,0,H,2017
chicago-red-stars-vs-north-carolina-courage-2017-05-27,5/27/2017,CHI,NC,3,2,M,2017
north-carolina-courage-vs-kansas-city-2017-06-03,6/3/2017,NC,KC,2,0,H,2017
north-carolina-courage-vs-boston-breakers-2017-06-17,6/17/2017,NC,BOS,3,1,H,2017
boston-breakers-vs-north-carolina-courage-2017-06-24,6/24/2017,BOS,NC,0,1,H,2017
north-carolina-courage-vs-sky-blue-2017-07-01,7/1/2017,NC,NJ,0,1,M,2017
north-carolina-courage-vs-seattle-reign-2017-07-08,7/8/2017,NC,SEA,2,0,H,2017
portland-thorns-vs-north-carolina-courage-2017-07-15,7/15/2017,POR,NC,1,0,M,2017
north-carolina-courage-vs-seattle-reign-2017-08-05,8/5/2017,NC,SEA,1,0,H,2017
kansas-city-vs-north-carolina-courage-2017-08-10,8/10/2017,KC,NC,0,1,H,2017
seattle-reign-vs-north-carolina-courage-2017-08-13,8/13/2017,SEA,NC,1,2,H,2017
north-carolina-courage-vs-washington-spirit-2017-08-19,8/19/2017,NC,WAS,2,0,H,2017
washington-spirit-vs-north-carolina-courage-2017-08-30,8/30/2017,WAS,NC,2,3,H,2017
chicago-red-stars-vs-north-carolina-courage-2017-09-03,9/3/2017,CHI,NC,2,1,M,2017
north-carolina-courage-vs-houston-dash-2017-09-09,9/9/2017,NC,HOU,1,0,H,2017
sky-blue-vs-north-carolina-courage-2017-09-24,9/24/2017,NJ,NC,1,1,M,2017
houston-dash-vs-north-carolina-courage-2017-09-27,9/27/2017,HOU,NC,0,4,H,2017
north-carolina-courage-vs-orlando-pride-2017-09-30,9/30/2017,NC,ORL,2,3,M,2017
north-carolina-courage-vs-chicago-red-stars-2017-10-08,10/8/2017,NC,CHI,1,0,H,2017
north-carolina-courage-vs-portland-thorns-2017-10-14,10/14/2017,NC,POR,0,1,M,2017
north-carolina-courage-vs-portland-thorns-2018-03-24,3/24/2018,NC,POR,1,0,H,2018
north-carolina-courage-vs-sky-blue-2018-03-31,3/31/2018,NC,NJ,1,0,H,2018
