State,CensusPop,Area,TotalVotes,RepVotes,RepCandidate,DemVotes,ThirdVotes,OtherVotes,DemCandidate,ThirdCandidate
Alabama,54571,AUTAUGA,23973,17379,"Romney, W. Mitt",6363,137,94,"Obama, Barack H.","Johnson, Gary E."
Alabama,182265,BALDWIN,85491,66016,"Romney, W. Mitt",18424,607,444,"Obama, Barack H.","Johnson, Gary E."
Alabama,27457,BARBOUR,11517,5550,"Romney, W. Mitt",5912,32,23,"Obama, Barack H.","Johnson, Gary E."
Alabama,22915,BIBB,8420,6132,"Romney, W. Mitt",2202,38,48,"Obama, Barack H.","Johnson, Gary E."
Alabama,57322,BLOUNT,24060,20757,"Romney, W. Mitt",2970,170,163,"Obama, Barack H.","Johnson, Gary E."
Alabama,10914,BULLOCK,5322,1251,"Romney, W. Mitt",4061,3,7,"Obama, Barack H.","Johnson, Gary E."
Alabama,20947,BUTLER,9502,5087,"Romney, W. Mitt",4374,20,21,"Obama, Barack H.","Johnson, Gary E."
Alabama,118572,CALHOUN,46364,30278,"Romney, W. Mitt",15511,291,284,"Obama, Barack H.","Johnson, Gary E."
Alabama,34215,CHAMBERS,14629,7626,"Romney, W. Mitt",6871,78,54,"Obama, Barack H.","Johnson, Gary E."
Alabama,25989,CHEROKEE,9792,7506,"Romney, W. Mitt",2132,79,75,"Obama, Barack H.","Johnson, Gary E."
Alabama,43643,CHILTON,17485,13932,"Romney, W. Mitt",3397,66,90,"Obama, Barack H.","Johnson, Gary E."
Alabama,13859,CHOCTAW,7976,4152,"Romney, W. Mitt",3786,19,19,"Obama, Barack H.","Johnson, Gary E."
Alabama,25833,CLARKE,13860,7470,"Romney, W. Mitt",6334,22,34,"Obama, Barack H.","Johnson, Gary E."
Alabama,13932,CLAY,6679,4817,"Romney, W. Mitt",1777,42,43,"Obama, Barack H.","Johnson, Gary E."
Alabama,14972,CLEBURNE,6319,5272,"Romney, W. Mitt",971,37,39,"Obama, Barack H.","Johnson, Gary E."
Alabama,49948,COFFEE,19821,14666,"Romney, W. Mitt",4925,111,119,"Obama, Barack H.","Johnson, Gary E."
Alabama,54428,COLBERT,23444,13936,"Romney, W. Mitt",9166,201,141,"Obama, Barack H.","Johnson, Gary E."
Alabama,13228,CONECUH,7025,3439,"Romney, W. Mitt",3555,15,16,"Obama, Barack H.","Johnson, Gary E."
Alabama,11539,COOSA,5282,3049,"Romney, W. Mitt",2191,19,23,"Obama, Barack H.","Johnson, Gary E."
Alabama,37765,COVINGTON,15439,12153,"Romney, W. Mitt",3158,66,62,"Obama, Barack H.","Johnson, Gary E."
Alabama,13906,CRENSHAW,6424,4331,"Romney, W. Mitt",2050,21,22,"Obama, Barack H.","Johnson, Gary E."
Alabama,80406,CULLMAN,34555,28999,"Romney, W. Mitt",5052,223,281,"Obama, Barack H.","Johnson, Gary E."
Alabama,50251,DALE,18601,13108,"Romney, W. Mitt",5286,101,106,"Obama, Barack H.","Johnson, Gary E."
Alabama,43820,DALLAS,20964,6288,"Romney, W. Mitt",14612,34,30,"Obama, Barack H.","Johnson, Gary E."
Alabama,71109,DEKALB,23950,18331,"Romney, W. Mitt",5239,161,219,"Obama, Barack H.","Johnson, Gary E."
Alabama,79303,ELMORE,35546,26253,"Romney, W. Mitt",8954,191,148,"Obama, Barack H.","Johnson, Gary E."
Alabama,38319,ESCAMBIA,14894,9287,"Romney, W. Mitt",5489,55,63,"Obama, Barack H.","Johnson, Gary E."
Alabama,104430,ETOWAH,42624,29130,"Romney, W. Mitt",12803,395,296,"Obama, Barack H.","Johnson, Gary E."
Alabama,17241,FAYETTE,7958,6054,"Romney, W. Mitt",1817,43,44,"Obama, Barack H.","Johnson, Gary E."
Alabama,31704,FRANKLIN,10881,7567,"Romney, W. Mitt",3171,69,74,"Obama, Barack H.","Johnson, Gary E."
Alabama,26790,GENEVA,11331,9175,"Romney, W. Mitt",2039,63,54,"Obama, Barack H.","Johnson, Gary E."
Alabama,9045,GREENE,5343,804,"Romney, W. Mitt",4521,8,10,"Obama, Barack H.","Johnson, Gary E."
Alabama,15760,HALE,8647,3210,"Romney, W. Mitt",5411,13,13,"Obama, Barack H.","Johnson, Gary E."
